Model.name,Eval.metric,Testing.data,Evaluating.data,Cutoff,Sensitivity,Specificity,sps
MAXENT.Phillips_RUN2_PA3,ROC,0.889,NA,1.5,88.889,77.667,Acla
MAXENT.Phillips_RUN2_PA3,FAR,0.711,NA,990,60,96.333,Acla
MAXENT.Phillips_RUN2_PA3,ACCURACY,0.919,NA,853.5,66.667,95.667,Acla
MAXENT.Phillips_RUN2_PA3,SR,0.711,NA,990,60,96.333,Acla
GLM_RUN2_PA3,TSS,0.752,NA,456,88.889,86.333,Acla
GLM_RUN2_PA3,ROC,0.938,NA,367,91.111,84.333,Acla
GLM_RUN2_PA3,FAR,0.818,NA,957,20,99.333,Acla
GLM_RUN2_PA3,ACCURACY,0.916,NA,909,57.778,96.667,Acla
GLM_RUN2_PA3,SR,0.818,NA,957,20,99.333,Acla
ANN_RUN2_PA3,TSS,0.73,NA,698,80,93,Acla
ANN_RUN2_PA3,ROC,0.871,NA,699,80,93,Acla
ANN_RUN2_PA3,FAR,0.688,NA,849,73.333,95,Acla
ANN_RUN2_PA3,ACCURACY,0.922,NA,849,73.333,95,Acla
ANN_RUN2_PA3,SR,0.688,NA,849,73.333,95,Acla
RF_RUN2_PA3,TSS,0.727,NA,212,86.667,86,Acla
RF_RUN2_PA3,ROC,0.944,NA,212.5,86.667,86,Acla
RF_RUN2_PA3,FAR,0.9,NA,980,60,99,Acla
RF_RUN2_PA3,ACCURACY,0.945,NA,931,66.667,98.667,Acla
RF_RUN2_PA3,SR,0.9,NA,980,60,99,Acla
GAM_RUN2_PA3,TSS,0.764,NA,110,91.111,85.333,Acla
GAM_RUN2_PA3,ROC,0.923,NA,111,91.111,85.333,Acla
GAM_RUN2_PA3,FAR,0.711,NA,947,60,96.333,Acla
GAM_RUN2_PA3,ACCURACY,0.922,NA,890,71.111,95.333,Acla
GAM_RUN2_PA3,SR,0.711,NA,947,60,96.333,Acla
MAXENT.Phillips_RUN3_PA3,TSS,0.751,NA,61,91.111,84,Acla
MAXENT.Phillips_RUN3_PA3,ROC,0.897,NA,36.5,93.333,82.333,Acla
MAXENT.Phillips_RUN3_PA3,FAR,0.694,NA,990,55.556,96.333,Acla
MAXENT.Phillips_RUN3_PA3,ACCURACY,0.922,NA,571,75.556,94.667,Acla
MAXENT.Phillips_RUN3_PA3,SR,0.694,NA,990,55.556,96.333,Acla
GLM_RUN3_PA3,TSS,0.801,NA,381,91.111,89,Acla
GLM_RUN3_PA3,ROC,0.943,NA,377.5,91.111,89,Acla
GLM_RUN3_PA3,FAR,0.824,NA,948,33.333,99,Acla
GLM_RUN3_PA3,ACCURACY,0.913,NA,768,75.556,93.667,Acla
GLM_RUN3_PA3,SR,0.824,NA,948,33.333,99,Acla
ANN_RUN3_PA3,TSS,0.823,NA,240,93.333,89,Acla
ANN_RUN3_PA3,ROC,0.955,NA,243,93.333,89,Acla
ANN_RUN3_PA3,FAR,0.767,NA,939,51.111,97.667,Acla
ANN_RUN3_PA3,ACCURACY,0.928,NA,843,82.222,94.333,Acla
ANN_RUN3_PA3,SR,0.767,NA,939,51.111,97.667,Acla
RF_RUN3_PA3,TSS,0.859,NA,135,95.556,90.333,Acla
RF_RUN3_PA3,ROC,0.972,NA,99.5,97.778,88.333,Acla
RF_RUN3_PA3,FAR,0.897,NA,990,57.778,98.333,Acla
RF_RUN3_PA3,ACCURACY,0.945,NA,876,71.111,98,Acla
RF_RUN3_PA3,SR,0.897,NA,990,57.778,98.333,Acla
GAM_RUN3_PA3,TSS,0.837,NA,106,93.333,90.333,Acla
GAM_RUN3_PA3,ROC,0.93,NA,106.5,93.333,90.333,Acla
GAM_RUN3_PA3,FAR,0.739,NA,909,75.556,96,Acla
GAM_RUN3_PA3,ACCURACY,0.933,NA,909,75.556,96,Acla
GAM_RUN3_PA3,SR,0.739,NA,909,75.556,96,Acla
MAXENT.Phillips_RUN4_PA3,TSS,0.731,NA,20,93.333,82,Acla
MAXENT.Phillips_RUN4_PA3,ROC,0.92,NA,19.5,93.333,82,Acla
MAXENT.Phillips_RUN4_PA3,FAR,0.818,NA,985,60,98,Acla
MAXENT.Phillips_RUN4_PA3,ACCURACY,0.93,NA,985,60,98,Acla
MAXENT.Phillips_RUN4_PA3,SR,0.818,NA,985,60,98,Acla
GLM_RUN4_PA3,TSS,0.802,NA,762,88.889,91.333,Acla
GLM_RUN4_PA3,ROC,0.935,NA,760.5,88.889,91.333,Acla
GLM_RUN4_PA3,FAR,0.818,NA,951,26.667,98.667,Acla
GLM_RUN4_PA3,ACCURACY,0.913,NA,819,80,93,Acla
GLM_RUN4_PA3,SR,0.818,NA,951,26.667,98.667,Acla
ANN_RUN4_PA3,TSS,0.801,NA,365,91.111,89,Acla
ANN_RUN4_PA3,ROC,0.932,NA,363.5,91.111,89,Acla
ANN_RUN4_PA3,FAR,0.625,NA,918,66.667,94,Acla
ANN_RUN4_PA3,ACCURACY,0.907,NA,841.5,80,92,Acla
ANN_RUN4_PA3,SR,0.625,NA,918,66.667,94,Acla
RF_RUN4_PA3,TSS,0.766,NA,558,82.222,94.333,Acla
RF_RUN4_PA3,ROC,0.95,NA,558.5,82.222,94.333,Acla
RF_RUN4_PA3,FAR,0.885,NA,990,55.556,99,Acla
RF_RUN4_PA3,ACCURACY,0.936,NA,980,60,98.333,Acla
RF_RUN4_PA3,SR,0.885,NA,990,55.556,99,Acla
GAM_RUN4_PA3,TSS,0.752,NA,768.5,82.222,93,Acla
GAM_RUN4_PA3,ROC,0.925,NA,768,82.222,93,Acla
